RecordID,Timestamp,Latitude,Longitude,AreaType,WeatherConditions,TimeOfDay,MovementPatterns,ThermalAnomalies,UnusualObjectsDetected,ObjectType,SoundAnomalies,ElectromagneticSignals,ProximityToSensitiveAreas,RecentActivityLevel,VehicleDensity,HumanPresence,StructureChangeDetection,PastCriminalActivity,ProximityToMilitaryInstallations,LawEnforcementPresence,SuspiciousActivityDetected,Distance (km),NearestMilitaryCamp
15,2023-09-15 08:18:00,34.77318198093769,74.38579560523941,urban,clear,afternoon,stationary,yes,no,none,yes,weak,no,low,29,108,no,yes,no,medium,1,33.44,Srinagar Base
16,2023-09-14 08:44:00,34.7961120531278,73.18642341127943,mountain,cloudy,morning,moving_fast,yes,yes,unknown,no,none,no,medium,39,167,yes,no,no,high,0,19.09,Kupwara Base
17,2023-10-13 01:06:00,34.839070216624435,74.44067661610099,urban,cloudy,afternoon,hovering,no,yes,drone,yes,none,no,medium,27,192,no,yes,yes,high,0,0.84,Baramulla Post
18,2023-10-29 06:38:00,35.3125302257404,74.26780115655878,mountain,cloudy,morning,hovering,yes,no,missile,no,strong,yes,high,31,11,yes,no,no,low,0,10.49,Jammu Camp
19,2023-04-22 15:57:00,33.547594264275574,74.1787238516078,urban,clear,night,moving_slow,yes,yes,drone,no,none,no,high,33,122,yes,yes,no,high,1,1.45,Jammu Camp
20,2023-10-10 10:09:00,34.80403474393981,72.83281614264098,rural,foggy,night,stationary,no,yes,unknown,yes,none,yes,medium,5,161,yes,yes,yes,high,0,35.48,Baramulla Post
21,2023-09-13 04:03:00,34.69872275545126,74.04105211687437,forest,foggy,afternoon,moving_slow,no,yes,none,yes,strong,no,medium,8,122,no,no,yes,low,1,44.99,Jammu Camp
22,2023-09-27 10:10:00,33.16817219985299,72.73300815947174,urban,foggy,night,hovering,yes,no,missile,no,weak,no,high,13,52,no,no,yes,high,0,6.66,Baramulla Post
23,2023-03-22 14:38:00,33.67712746953126,73.30809313755147,rural,foggy,evening,moving_fast,no,yes,none,no,strong,yes,low,25,173,no,yes,no,high,0,17.37,Srinagar Base
24,2023-11-06 19:46:00,34.71889731934734,72.82895177806124,mountain,cloudy,afternoon,stationary,yes,yes,unknown,yes,none,yes,medium,42,165,yes,no,no,low,1,29.65,Srinagar Base
25,2023-06-11 00:40:00,33.5914044139798,73.16891795499205,border_zone,clear,night,moving_fast,no,no,unknown,yes,strong,no,high,36,26,no,no,yes,low,1,42.28,Baramulla Post
26,2023-05-20 16:56:00,34.13941482061152,73.69762727912128,mountain,cloudy,night,moving_fast,no,yes,sniper,yes,strong,yes,high,23,46,no,no,yes,high,1,31.71,Jammu Camp
27,2023-12-27 16:31:00,34.0963513359601,73.16211374579723,forest,windy,night,hovering,no,yes,drone,no,none,no,low,42,71,yes,yes,yes,medium,1,47.85,Srinagar Base
28,2023-07-03 13:21:00,35.18634334404985,72.64506656540264,urban,windy,morning,moving_slow,no,yes,none,no,none,yes,low,33,170,yes,yes,no,high,0,14.23,Srinagar Base
29,2023-11-13 05:06:00,34.463089500947774,73.57448720185234,border_zone,rainy,evening,hovering,yes,yes,none,yes,strong,no,low,12,157,no,yes,yes,medium,1,24.85,Baramulla Post
30,2023-03-08 22:07:00,32.52179967402932,72.50701813739899,forest,clear,morning,hovering,no,yes,missile,no,strong,yes,low,11,95,yes,yes,no,low,1,36.17,Baramulla Post
31,2023-09-16 15:58:00,33.06117938218512,74.58111474045818,mountain,foggy,evening,moving_fast,yes,no,unknown,no,strong,yes,medium,16,134,no,yes,no,low,0,29.01,Srinagar Base
32,2023-03-07 15:07:00,35.42811145083494,74.38728607513424,mountain,clear,afternoon,stationary,no,no,drone,no,none,yes,medium,27,197,no,no,no,high,1,40.5,Jammu Camp
33,2023-03-12 09:42:00,34.52541032558665,73.47347127522806,forest,windy,evening,hovering,no,no,sniper,yes,strong,yes,high,14,135,no,no,yes,high,1,24.13,Srinagar Base
34,2023-07-17 04:21:00,35.38156058449811,73.078463623114,forest,rainy,night,moving_slow,yes,yes,drone,no,weak,yes,high,2,122,no,no,yes,medium,1,5.85,Baramulla Post
35,2023-08-10 01:25:00,34.28842115078282,73.23833618238905,border_zone,windy,afternoon,hovering,no,no,sniper,yes,weak,yes,medium,22,29,no,no,yes,medium,0,30.57,Baramulla Post
36,2023-10-10 07:37:00,32.65556032602508,73.0229910501464,urban,cloudy,evening,moving_fast,yes,yes,unknown,yes,weak,yes,high,7,101,yes,yes,yes,medium,1,20.75,Kupwara Base
37,2023-02-08 21:39:00,33.41562075047076,73.39362000955052,mountain,rainy,afternoon,hovering,yes,no,unknown,yes,strong,yes,high,32,173,yes,no,no,high,0,21.85,Kupwara Base
38,2023-11-19 14:02:00,34.44315032389467,72.79129671926754,rural,clear,afternoon,stationary,yes,no,missile,yes,strong,yes,high,11,165,no,no,yes,high,1,30.63,Srinagar Base
39,2023-09-11 06:27:00,34.81014895158196,72.68604271652994,urban,windy,night,moving_fast,yes,yes,drone,no,weak,no,medium,23,125,yes,yes,no,high,1,3.06,Srinagar Base
40,2023-02-22 16:07:00,33.902074123987425,72.68268254599954,border_zone,windy,morning,moving_slow,no,yes,unknown,no,none,no,high,18,12,yes,no,yes,low,1,45.77,Kupwara Base
41,2023-07-17 00:50:00,32.61122736821771,74.28109567471198,mountain,foggy,night,moving_slow,no,yes,drone,no,strong,no,medium,13,24,no,no,yes,low,1,27.65,Kupwara Base
42,2023-05-20 23:51:00,33.75396414651615,73.80610374822238,urban,windy,morning,stationary,yes,yes,sniper,no,strong,no,low,28,102,no,yes,yes,high,0,48.32,Srinagar Base
43,2023-12-16 06:53:00,33.89148905250269,75.16427912006013,forest,rainy,afternoon,stationary,yes,yes,missile,yes,strong,no,high,36,169,yes,no,no,medium,0,27.9,Baramulla Post
44,2023-08-13 02:10:00,34.7209898805534,75.18781908426821,urban,foggy,morning,hovering,yes,no,unknown,yes,strong,yes,high,10,95,no,yes,yes,low,1,45.39,Kupwara Base
45,2023-11-18 04:11:00,34.79366685691774,74.64685895245634,mountain,cloudy,afternoon,moving_slow,yes,no,none,no,weak,yes,high,13,145,yes,yes,yes,low,0,21.62,Kupwara Base
46,2023-12-05 20:01:00,35.48956127864576,74.31570514002831,urban,rainy,morning,stationary,yes,no,none,no,none,no,medium,8,199,no,no,no,medium,0,16.83,Srinagar Base
47,2023-07-21 17:00:00,35.32388970845799,74.36088539084018,border_zone,cloudy,night,moving_fast,yes,no,none,no,none,no,low,12,12,no,no,no,low,1,29.79,Baramulla Post
48,2023-07-10 04:01:00,34.61345600660896,73.80285196957416,border_zone,clear,morning,moving_fast,yes,yes,unknown,yes,weak,yes,low,12,115,yes,yes,yes,medium,1,47.62,Baramulla Post
49,2023-10-30 22:45:00,35.024967823356334,72.69638364472259,rural,foggy,evening,hovering,yes,no,missile,yes,none,no,high,28,121,no,yes,yes,medium,1,32.49,Srinagar Base
50,2023-09-30 07:13:00,32.79663891945358,74.64339533642578,urban,foggy,afternoon,moving_fast,no,no,drone,no,strong,yes,high,47,79,no,no,yes,high,0,45.48,Srinagar Base
51,2023-05-10 22:57:00,35.385842617053655,73.58540276518694,urban,foggy,afternoon,moving_fast,no,no,unknown,no,strong,yes,low,45,116,yes,no,no,low,1,14.31,Srinagar Base
52,2023-05-05 13:36:00,35.36424532205724,75.27325041862618,mountain,cloudy,night,moving_slow,yes,no,none,yes,strong,no,low,33,48,no,no,no,low,0,41.15,Jammu Camp
53,2023-04-30 05:21:00,35.112634670558904,74.88829177235057,rural,cloudy,night,moving_slow,no,no,missile,no,none,yes,low,50,163,no,yes,no,high,0,14.25,Baramulla Post
54,2023-01-20 16:33:00,35.17082362311451,72.935626042611,mountain,rainy,evening,hovering,no,no,sniper,no,none,no,high,40,166,yes,yes,yes,low,0,9.37,Kupwara Base
55,2023-06-11 14:58:00,33.0084689198445,73.20211507553908,border_zone,cloudy,afternoon,stationary,yes,yes,none,no,weak,yes,low,13,107,yes,no,yes,high,0,13.86,Jammu Camp
56,2023-11-26 08:11:00,32.63374450425978,73.22500415106316,rural,foggy,afternoon,stationary,no,yes,sniper,no,strong,yes,high,9,155,no,yes,no,low,1,43.93,Baramulla Post
57,2023-06-05 02:15:00,32.74767089267255,72.76505230128237,urban,rainy,night,moving_fast,yes,no,unknown,no,strong,no,medium,2,171,no,no,no,low,0,46.13,Jammu Camp
58,2023-11-26 14:11:00,34.59344517294332,74.21209069763728,forest,foggy,night,moving_slow,no,no,missile,yes,strong,yes,high,14,0,yes,yes,yes,medium,0,10.85,Jammu Camp
59,2023-08-02 16:27:00,34.14010109819411,74.5096190657962,border_zone,clear,night,moving_slow,no,yes,missile,yes,none,no,medium,23,169,no,no,yes,high,0,23.05,Kupwara Base
60,2023-03-13 12:22:00,34.815506063796285,73.93259285384066,border_zone,windy,afternoon,hovering,no,no,missile,yes,weak,yes,low,8,184,yes,no,yes,low,1,39.5,Kupwara Base
61,2023-02-10 05:54:00,32.932408520443495,74.15804537134426,rural,foggy,afternoon,stationary,yes,no,unknown,no,weak,no,high,10,44,no,no,yes,medium,1,10.28,Baramulla Post
62,2023-10-01 23:26:00,33.3803810626668,75.10586776576542,rural,rainy,night,stationary,yes,no,missile,no,none,no,medium,31,62,no,no,no,high,0,36.71,Baramulla Post
63,2023-02-05 15:21:00,34.27434872492366,74.11442574403935,urban,foggy,evening,stationary,no,no,missile,yes,weak,no,high,22,9,no,yes,no,low,1,37.84,Baramulla Post
64,2023-03-03 01:15:00,35.38138235030263,72.79850807038676,urban,rainy,morning,stationary,no,yes,missile,no,strong,no,low,50,135,no,yes,yes,high,0,46.7,Baramulla Post
65,2023-10-03 21:44:00,33.6606356386874,73.4976228826943,rural,rainy,morning,hovering,no,yes,unknown,no,strong,yes,high,20,7,no,yes,yes,medium,0,2.88,Jammu Camp
66,2023-12-19 20:52:00,32.540722979393365,75.31908325517547,urban,rainy,evening,moving_fast,yes,no,none,no,strong,yes,low,15,176,no,no,yes,medium,0,19.19,Jammu Camp
67,2023-07-14 00:53:00,35.022541869323106,73.51382828083695,urban,rainy,afternoon,hovering,yes,yes,drone,no,none,no,high,34,28,yes,no,yes,low,0,20.47,Jammu Camp
68,2023-09-08 02:30:00,34.54779158278536,72.5118963263154,mountain,clear,night,hovering,no,no,missile,no,weak,yes,low,30,93,yes,yes,yes,high,1,12.5,Baramulla Post
69,2023-08-14 18:26:00,33.542327029190254,73.57971308366551,border_zone,cloudy,night,moving_slow,yes,yes,sniper,no,none,no,low,0,95,no,yes,yes,high,0,17.91,Kupwara Base
70,2023-10-19 05:43:00,34.657712233928144,74.42446848164752,rural,foggy,afternoon,moving_slow,yes,no,sniper,no,strong,yes,medium,5,76,yes,yes,no,medium,1,4.43,Baramulla Post
71,2023-12-20 00:26:00,34.342731751249275,73.8748449302557,forest,cloudy,morning,hovering,no,yes,drone,no,strong,no,high,26,159,no,yes,no,low,1,23.59,Srinagar Base
72,2023-01-30 16:08:00,33.86567814254474,73.08744511039174,urban,cloudy,afternoon,moving_slow,no,no,unknown,no,weak,yes,low,43,124,yes,no,no,low,1,6.16,Srinagar Base
73,2023-05-08 18:06:00,32.797467383249455,73.15973220692564,urban,clear,evening,moving_fast,yes,yes,missile,yes,strong,no,low,23,199,yes,yes,yes,medium,0,11.84,Baramulla Post
74,2023-02-22 01:59:00,34.04297724782549,75.16448178288843,mountain,clear,night,moving_fast,yes,no,sniper,yes,weak,yes,low,5,19,no,no,no,medium,0,21.22,Baramulla Post
75,2023-03-15 00:27:00,34.301508571835676,74.11391115483562,urban,rainy,night,moving_slow,yes,no,sniper,no,strong,yes,medium,12,124,no,yes,yes,medium,1,6.36,Baramulla Post
76,2023-03-25 01:52:00,33.10888282812931,73.172586011363,mountain,cloudy,afternoon,stationary,yes,no,missile,yes,weak,no,high,49,188,yes,yes,no,high,0,43.7,Kupwara Base
77,2023-03-24 21:46:00,33.97178885940925,73.70507291599401,rural,cloudy,afternoon,hovering,no,yes,sniper,no,weak,yes,low,21,68,no,yes,no,high,0,29.0,Kupwara Base
78,2023-07-17 21:37:00,32.7195313752088,75.08762975485422,border_zone,rainy,afternoon,stationary,yes,yes,missile,no,strong,no,low,8,70,no,no,yes,medium,1,8.47,Jammu Camp
79,2023-09-06 08:48:00,33.329914497522836,72.6358962218302,urban,foggy,morning,moving_fast,yes,yes,drone,no,none,yes,high,49,72,no,no,no,low,0,39.81,Baramulla Post
80,2023-02-10 08:44:00,32.84362144638596,72.8747373402475,mountain,cloudy,afternoon,moving_slow,yes,no,unknown,yes,none,no,medium,29,173,yes,yes,no,low,0,43.26,Baramulla Post
81,2023-06-03 15:44:00,35.38484826704063,74.83496478781096,forest,cloudy,morning,moving_slow,yes,yes,none,yes,none,no,medium,3,160,no,yes,no,medium,1,46.86,Jammu Camp
82,2023-01-01 03:05:00,35.234035506287896,73.92520796709951,mountain,windy,morning,hovering,yes,no,drone,no,strong,no,medium,31,20,no,no,yes,medium,0,15.59,Kupwara Base
83,2023-03-31 10:10:00,34.84978320143152,73.47691235273642,border_zone,rainy,morning,hovering,no,yes,sniper,no,weak,yes,medium,0,179,yes,yes,no,high,1,7.62,Srinagar Base
84,2023-06-19 09:31:00,32.69832804231792,74.10102283184001,mountain,windy,evening,moving_fast,no,no,sniper,yes,strong,yes,medium,24,110,yes,yes,no,medium,1,33.76,Srinagar Base
85,2023-09-11 22:54:00,34.016551403152846,73.02804172499118,urban,cloudy,evening,hovering,no,no,none,yes,weak,no,medium,0,20,no,yes,no,medium,0,0.78,Baramulla Post
86,2023-05-02 10:56:00,33.465606371990226,74.48042601631542,border_zone,foggy,night,moving_slow,yes,no,none,yes,weak,yes,medium,36,175,yes,yes,yes,high,0,21.57,Jammu Camp
87,2023-04-01 13:21:00,34.674427649729644,73.58219560761134,urban,rainy,night,stationary,no,no,missile,no,none,yes,medium,42,146,no,yes,no,low,0,43.1,Baramulla Post
88,2023-09-02 12:30:00,34.65971903651408,74.44891373290118,urban,foggy,night,moving_fast,yes,no,missile,no,weak,no,high,19,38,yes,yes,yes,low,0,22.61,Baramulla Post
89,2023-02-27 18:24:00,33.989750379016115,73.94104226238343,mountain,clear,morning,stationary,no,yes,missile,no,none,no,high,30,103,yes,no,yes,low,0,23.14,Kupwara Base
90,2023-05-17 04:35:00,35.14491211703748,73.28038461515861,rural,foggy,afternoon,stationary,no,no,unknown,no,weak,yes,medium,3,77,no,no,no,medium,1,40.24,Jammu Camp
91,2023-10-12 22:58:00,33.92877512653756,74.7609852443538,border_zone,rainy,afternoon,stationary,yes,yes,missile,no,weak,yes,high,3,182,yes,no,no,high,0,31.86,Kupwara Base
92,2023-12-11 04:24:00,33.69618838024188,72.8954876105978,border_zone,rainy,night,hovering,yes,yes,drone,no,strong,no,high,41,197,yes,no,no,high,1,7.8,Jammu Camp
93,2023-01-09 03:48:00,33.087072718924404,72.72702101425638,rural,clear,morning,stationary,no,no,missile,yes,strong,no,high,15,28,yes,yes,no,medium,0,46.17,Baramulla Post
94,2023-11-09 06:17:00,33.02449187769598,73.15790504550775,border_zone,cloudy,morning,stationary,no,no,drone,no,weak,yes,low,21,192,yes,yes,no,medium,1,8.78,Srinagar Base
95,2023-07-19 03:13:00,34.25583765632248,73.88909244117005,urban,clear,afternoon,stationary,yes,no,missile,yes,weak,yes,medium,46,197,yes,no,no,high,1,28.45,Baramulla Post
96,2023-08-29 00:04:00,34.12752630521594,75.135060946915,urban,foggy,night,stationary,no,no,none,no,none,no,medium,20,115,no,no,yes,high,1,28.76,Srinagar Base
97,2023-07-11 10:51:00,32.53443292441406,75.01005511487674,border_zone,rainy,afternoon,stationary,yes,yes,none,yes,none,yes,low,23,87,no,yes,yes,medium,1,39.23,Baramulla Post
98,2023-07-28 22:26:00,33.81647621664164,72.82095391268234,mountain,rainy,night,moving_fast,no,yes,drone,no,weak,yes,medium,27,77,no,no,no,low,0,27.83,Baramulla Post
99,2023-02-05 23:59:00,34.34468195334177,73.54100356619293,forest,foggy,evening,moving_slow,yes,yes,none,yes,weak,no,medium,38,172,no,yes,yes,high,1,24.96,Baramulla Post
100,2023-11-23 05:35:00,34.05364030068408,75.24014108357834,urban,foggy,night,stationary,no,no,none,yes,weak,no,low,18,74,yes,no,no,low,1,14.28,Kupwara Base
101,2023-07-26 17:05:00,33.03442106416008,73.75528215041689,border_zone,cloudy,night,moving_fast,yes,no,drone,yes,none,no,high,48,194,no,yes,yes,low,0,41.53,Jammu Camp
102,2023-09-22 12:51:00,33.95639802283258,73.74776930241752,mountain,foggy,night,stationary,no,yes,drone,yes,weak,yes,low,49,62,no,yes,yes,medium,0,32.58,Jammu Camp
103,2023-06-15 03:36:00,34.94203969980885,72.66313870080761,urban,foggy,afternoon,moving_slow,yes,no,missile,no,weak,yes,high,37,183,yes,no,no,high,1,46.28,Srinagar Base
104,2023-02-15 22:08:00,34.381728118913145,75.15909953693543,mountain,foggy,night,stationary,no,no,drone,yes,weak,yes,medium,22,14,yes,no,yes,high,0,35.01,Kupwara Base
105,2023-04-21 19:16:00,32.638801917219006,74.26856198546075,border_zone,clear,morning,stationary,no,yes,missile,no,strong,no,medium,4,52,yes,yes,no,medium,0,20.87,Kupwara Base
106,2023-03-19 17:36:00,35.00368122631834,75.38387836646564,mountain,clear,evening,stationary,yes,no,drone,yes,strong,no,low,35,92,yes,yes,yes,medium,1,14.85,Baramulla Post
107,2023-07-07 21:06:00,33.43995995317964,72.63856742090557,mountain,rainy,morning,stationary,yes,yes,none,yes,none,yes,low,48,171,yes,no,no,high,0,40.03,Srinagar Base
108,2023-07-24 01:35:00,32.655284125830754,74.97985685872601,border_zone,cloudy,afternoon,moving_fast,no,no,missile,no,none,yes,high,38,172,no,no,no,high,1,28.24,Srinagar Base
109,2023-03-30 10:34:00,32.771576702100425,72.70891732046077,border_zone,windy,night,moving_fast,yes,no,unknown,no,weak,yes,high,28,38,yes,yes,yes,low,0,33.96,Jammu Camp
110,2023-08-12 06:05:00,34.84459446945045,72.59572256128537,rural,clear,afternoon,moving_slow,no,no,drone,no,none,no,high,41,81,yes,yes,no,medium,1,30.44,Kupwara Base
111,2023-09-11 08:02:00,34.2451916708829,73.95016880398084,border_zone,cloudy,evening,moving_fast,yes,no,missile,yes,weak,no,low,39,108,no,yes,no,high,1,11.71,Kupwara Base
112,2023-05-04 00:20:00,33.932655834043224,74.38369147985605,mountain,foggy,afternoon,moving_slow,no,no,drone,yes,weak,no,low,26,34,no,yes,no,medium,0,30.21,Kupwara Base
113,2023-03-11 00:59:00,32.845579488951174,75.49023409347022,forest,clear,evening,stationary,no,no,none,no,weak,no,medium,0,172,yes,yes,no,high,1,10.26,Kupwara Base
114,2023-10-20 08:04:00,33.58254904295513,73.58084112792415,urban,rainy,afternoon,moving_slow,yes,yes,none,no,none,yes,low,23,75,no,yes,no,medium,1,44.41,Kupwara Base
115,2023-11-30 18:25:00,33.46597140642791,75.38755946022407,forest,clear,evening,hovering,no,no,unknown,yes,strong,no,high,8,64,yes,yes,yes,low,0,39.71,Jammu Camp
116,2023-04-26 07:05:00,33.689033860518244,73.82683057536987,forest,foggy,evening,hovering,yes,no,none,no,strong,yes,medium,5,19,yes,no,yes,low,0,23.13,Baramulla Post
117,2023-01-27 20:43:00,33.02737461443796,74.11696374524456,rural,clear,morning,hovering,no,yes,unknown,yes,weak,no,low,40,61,no,no,no,high,1,0.89,Srinagar Base
118,2023-02-20 11:19:00,34.98329856315363,75.31165163062438,mountain,clear,morning,stationary,no,yes,sniper,no,none,no,high,11,71,yes,yes,no,medium,1,39.3,Kupwara Base
119,2023-12-01 11:41:00,34.2125533557183,73.84385160509265,forest,windy,morning,stationary,no,no,unknown,no,weak,yes,high,7,45,yes,yes,yes,low,0,42.58,Jammu Camp
120,2023-06-12 03:45:00,33.3570536415601,74.65839073106156,urban,cloudy,evening,hovering,no,yes,unknown,no,none,yes,low,45,64,yes,no,yes,high,0,23.88,Jammu Camp
121,2023-12-06 08:26:00,32.84462424367513,74.97973055936005,rural,cloudy,morning,hovering,yes,yes,missile,no,strong,yes,high,27,31,no,no,no,high,1,37.36,Baramulla Post
122,2023-10-15 05:04:00,32.777402510808635,74.66435646680966,rural,clear,morning,moving_slow,no,no,missile,no,strong,yes,low,13,108,no,no,no,low,0,34.45,Jammu Camp
123,2023-06-08 05:29:00,33.51860899211153,74.93226658988364,rural,clear,afternoon,moving_slow,no,no,unknown,yes,none,no,medium,45,198,yes,yes,no,low,1,29.34,Jammu Camp
124,2023-04-24 04:58:00,33.95489324290314,74.19285160936093,mountain,rainy,night,moving_fast,yes,no,unknown,no,weak,yes,low,39,82,no,yes,yes,high,1,8.8,Baramulla Post
125,2023-09-02 22:26:00,33.144249283173,75.40594156503909,rural,rainy,night,stationary,yes,yes,sniper,no,strong,yes,high,8,159,yes,yes,no,low,1,49.31,Kupwara Base
126,2023-03-09 15:13:00,33.48104759803961,74.16976657342781,urban,windy,evening,stationary,yes,yes,drone,yes,weak,yes,low,8,46,no,no,no,high,0,46.51,Jammu Camp
127,2023-07-15 23:06:00,32.81538742567823,74.19592915169501,border_zone,windy,morning,moving_fast,yes,no,sniper,no,none,no,low,29,3,yes,no,no,low,0,39.48,Baramulla Post
128,2023-06-20 07:51:00,33.94087486408719,73.13164961212125,urban,windy,afternoon,stationary,yes,no,none,yes,none,yes,medium,3,12,no,no,yes,high,1,48.44,Jammu Camp
129,2023-02-17 20:12:00,34.2691150342616,72.97310249795255,urban,windy,afternoon,stationary,yes,no,drone,yes,none,yes,low,46,17,no,no,yes,high,1,43.83,Kupwara Base
130,2023-05-24 09:07:00,33.7474538489462,73.57351822844316,border_zone,foggy,morning,hovering,no,no,missile,yes,weak,no,low,13,97,no,no,yes,high,0,6.6,Srinagar Base
131,2023-07-14 15:36:00,34.59020588238741,73.18482772259861,border_zone,rainy,afternoon,moving_fast,no,no,sniper,no,weak,no,low,30,160,no,yes,yes,low,0,2.24,Baramulla Post
132,2023-01-23 08:51:00,34.50760853704266,74.13185135419056,mountain,clear,night,moving_slow,yes,no,sniper,yes,none,no,high,26,27,yes,no,yes,low,1,21.79,Kupwara Base
133,2023-04-09 21:52:00,34.41586660881175,75.1779896809632,forest,rainy,morning,moving_slow,yes,yes,unknown,no,strong,no,low,13,64,yes,no,yes,medium,1,3.25,Baramulla Post
134,2023-02-17 19:12:00,34.63173053141062,72.5255413085246,rural,rainy,night,moving_fast,yes,yes,sniper,no,strong,yes,low,33,32,no,yes,yes,high,1,19.19,Baramulla Post
135,2023-04-14 19:08:00,33.958752295194245,75.19069810853661,mountain,rainy,morning,moving_slow,no,no,none,yes,none,yes,medium,48,73,no,no,no,high,0,30.78,Jammu Camp
136,2023-08-16 08:55:00,34.76577438184579,73.55813279952473,urban,cloudy,afternoon,hovering,no,no,sniper,no,weak,no,low,46,39,yes,no,yes,medium,0,1.01,Jammu Camp
137,2023-12-26 01:48:00,35.440059789731876,75.00810994838861,rural,cloudy,morning,stationary,yes,yes,drone,yes,strong,yes,medium,6,2,yes,no,no,low,0,28.07,Jammu Camp
138,2023-08-13 20:43:00,33.035842432416416,75.42332864484385,border_zone,rainy,night,stationary,no,no,sniper,yes,none,yes,low,11,136,yes,yes,no,low,1,22.52,Baramulla Post
139,2023-01-01 10:20:00,34.896505261070516,74.05241477008079,urban,foggy,evening,moving_fast,yes,yes,unknown,yes,strong,no,high,34,8,yes,no,no,low,0,28.6,Jammu Camp
140,2023-01-21 04:59:00,32.68158676979113,74.45477670736184,border_zone,foggy,morning,stationary,no,no,none,no,weak,no,high,29,181,no,yes,yes,medium,0,13.47,Kupwara Base
141,2023-10-18 08:54:00,34.17430321874235,72.92022470904249,mountain,rainy,night,moving_slow,no,no,sniper,no,weak,yes,medium,3,57,yes,no,yes,high,1,27.05,Jammu Camp
142,2023-08-12 14:26:00,32.987121317377614,72.87170005504574,forest,rainy,night,moving_slow,yes,no,sniper,yes,none,no,high,40,194,yes,yes,no,medium,0,46.51,Jammu Camp
143,2023-07-25 15:56:00,33.548917094783796,73.42395240043928,rural,windy,evening,moving_slow,yes,yes,none,no,none,no,low,41,170,yes,yes,yes,medium,0,47.77,Srinagar Base
144,2023-01-04 23:47:00,33.36830353817744,75.32578973400304,border_zone,windy,morning,moving_fast,yes,yes,unknown,no,strong,no,medium,24,91,no,yes,no,medium,0,17.91,Baramulla Post
145,2023-06-27 06:07:00,34.69355710958247,74.10368453952394,mountain,windy,afternoon,stationary,no,no,drone,yes,strong,yes,low,8,170,no,no,no,medium,0,39.35,Kupwara Base
146,2023-03-19 02:51:00,34.29565315768525,75.1886215008452,mountain,rainy,night,hovering,no,yes,unknown,no,strong,no,low,45,143,yes,no,yes,medium,0,15.68,Baramulla Post
